,game,platform,genre,release_date,metascore
2,The Legend of Zelda: Ocarina of Time 3D,3DS,Miscellaneous, 2011,94
4,Super Mario 3D Land,3DS,Action, 2011,90
6,Pushmo,3DS,Miscellaneous, 2011,90
18,Super Street Fighter IV: 3D Edition,3DS,Action, 2011,85
20,Mario Kart 7,3DS,Driving, 2011,85
35,VVVVVV,3DS,Action, 2011,83
38,Cave Story 3D,3DS,Action, 2011,82
41,Skylanders: Spyro's Adventure,3DS,Action, 2011,82
46,Star Fox 64 3D,3DS,Action, 2011,81
59,Dead or Alive: Dimensions,3DS,Action, 2011,79
65,Mighty Switch Force!,3DS,Action, 2011,79
68,Shin Megami Tensei: Devil Survivor Overclocked,3DS,Role-Playing, 2011,78
70,Tom Clancy's Ghost Recon: Shadow Wars,3DS,Action, 2011,77
73,3D Classics: Kirby's Adventure,3DS,Action, 2011,77
91,Bit.Trip Saga,3DS,Miscellaneous, 2011,75
95,Ridge Racer 3D,3DS,Driving, 2011,75
96,Nano Assault,3DS,Action, 2011,75
102,Tetris Axis,3DS,Miscellaneous, 2011,74
114,Pro Evolution Soccer 2011 3D,3DS,Sports, 2011,73
123,Nintendogs + Cats: French Bulldog & New Friends,3DS,Simulation, 2011,71
125,Nintendogs + Cats: Toy Poodle & New Friends,3DS,Simulation, 2011,71
126,Nintendogs + Cats: Golden Retriever & New Friends,3DS,Simulation, 2011,71
127,WWE All Stars,3DS,Action, 2011,71
128,LEGO Harry Potter: Years 5-7,3DS,Action Adventure, 2011,71
130,LEGO Pirates of the Caribbean: The Video Game,3DS,Action Adventure, 2011,71
131,Ace Combat: Assault Horizon Legacy,3DS,Action, 2011,71
133,Pilotwings Resort,3DS,Simulation, 2011,71
279,Colors! 3D,3DS,Miscellaneous, 2012,89
280,Zero Escape: Virtue's Last Reward,3DS,Adventure, 2012,88
295,Crashmo,3DS,Miscellaneous, 2012,86
316,Kid Icarus: Uprising,3DS,Action Adventure, 2012,83
326,Resident Evil: Revelations,3DS,Action Adventure, 2012,82
327,Professor Layton and the Miracle Mask,3DS,Puzzle, 2012,82
330,Art of Balance Touch!,3DS,Miscellaneous, 2012,82
337,Art Academy: Lessons for Everyone,3DS,Miscellaneous, 2012,81
353,Mutant Mudds,3DS,Action, 2012,80
371,ZEN Pinball 3D,3DS,Action, 2012,79
377,The Denpa Men: They Came By Wave,3DS,Role-Playing, 2012,78
380,Metal Gear Solid: Snake Eater 3D,3DS,Action Adventure, 2012,78
382,Theatrhythm Final Fantasy,3DS,Action, 2012,78
383,Fluidity: Spin Cycle,3DS,Action, 2012,78
389,New Super Mario Bros. 2,3DS,Action, 2012,78
395,3D Classics: Kid Icarus,3DS,Action, 2012,77
407,Ketzal's Corridors,3DS,General, 2012,76
413,Rhythm Thief & the Emperor's Treasure,3DS,Action, 2012,76
415,Crimson Shroud,3DS,Role-Playing, 2012,76
423,Tales of the Abyss,3DS,Role-Playing, 2012,75
424,Paper Mario: Sticker Star,3DS,Action Adventure, 2012,75
425,Kingdom Hearts 3D: Dream Drop Distance,3DS,Role-Playing, 2012,75
431,escapeVektor,3DS,Miscellaneous, 2012,75
434,NightSky,3DS,Miscellaneous, 2012,75
438,Harvest Moon 3D: A New Beginning,3DS,Strategy, 2012,74
447,Sakura Samurai: Art of the Sword,3DS,Action, 2012,74
449,Marvel Pinball 3D,3DS,Action, 2012,74
460,Pro Evolution Soccer 2012 3D,3DS,Sports, 2012,73
465,Scribblenauts Unlimited,3DS,Puzzle, 2012,73
467,Order Up!!,3DS,Action, 2012,72
479,Rayman Origins,3DS,Action, 2012,71
488,CRUSH3D,3DS,Action, 2012,71
645,Fire Emblem: Awakening,3DS,Strategy, 2013,92
648,The Legend of Zelda: A Link Between Worlds,3DS,Action RPG, 2013,91
660,Pokemon Y,3DS,Role-Playing, 2013,88
663,Animal Crossing: New Leaf,3DS,Simulation, 2013,88
664,Pokemon X,3DS,Role-Playing, 2013,87
682,Luigi's Mansion: Dark Moon,3DS,Action Adventure, 2013,86
699,Etrian Odyssey IV: Legends of the Titan,3DS,Role-Playing, 2013,84
706,Donkey Kong Country Returns 3D,3DS,Action, 2013,83
707,Shin Megami Tensei IV,3DS,Role-Playing, 2013,83
728,Gunman Clive,3DS,Action, 2013,82
729,SteamWorld Dig,3DS,Action, 2013,82
735,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,Adventure, 2013,81
739,Mario & Luigi: Dream Team,3DS,Role-Playing, 2013,81
744,Etrian Odyssey Untold: The Millennium Girl,3DS,Role-Playing, 2013,80
766,Monster Hunter 3 Ultimate,3DS,Role-Playing, 2013,79
784,Mario and Donkey Kong: Minis on the Move,3DS,Puzzle, 2013,78
792,Rune Factory 4,3DS,Role-Playing, 2013,78
798,Kokuga,3DS,Action, 2013,77
807,Super Little Acorns 3D Turbo,3DS,Action, 2013,77
821,Attack of the Friday Monsters! A Tokyo Tale,3DS,Action, 2013,77
832,The Denpa Men 2: Beyond the Waves,3DS,Role-Playing, 2013,76
851,Hakuoki: Memories of the Shinsengumi,3DS,General, 2013,75
859,Nano Assault EX,3DS,Action, 2013,74
860,Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS,Role-Playing, 2013,74
874,HarmoKnight,3DS,Action, 2013,73
876,Picross e,3DS,Miscellaneous, 2013,73
880,Mighty Switch Force! 2,3DS,Action, 2013,73
885,Castlevania: Lords of Shadow - Mirror of Fate,3DS,Action Adventure, 2013,72
892,Inazuma Eleven 3: Bomb Blast,3DS,Sports, 2013,72
911,Ikachan,3DS,Action, 2013,71
912,Naruto Powerful Shippuden,3DS,Action, 2013,71
1127,Shovel Knight,3DS,Platformer, 2014,90
1163,Bravely Default,3DS,Console-style RPG, 2014,85
1167,Super Smash Bros. for Nintendo 3DS,3DS,Fighting, 2014,85
1196,Persona Q: Shadow of the Labyrinth,3DS,Role-Playing, 2014,83
